# candidate-c-expressive  (CANDIDATE)  ok=True  input_hash=b5e62e028117d593
  note: CANDIDATE.  Not a finished/selected theme; no winner is ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.67deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 391 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #1f1e1d  0.235  0.002    70  0.0022 0.0022 0.0022 0.0000 0.0000 1.00
bg               canvas  authored      #191714  0.205  0.007    70  0.0070 0.0070 0.0070 0.0000 0.0000 1.00
bg_elevated      surface authored      #211e1b  0.238  0.008    70  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_overlay       surface authored      #282521  0.265  0.009    70  0.0090 0.0090 0.0090 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #f7cfd3  0.889  0.046    10  0.0465 0.0465 0.0465 0.0000 0.0000 1.00
builtin          ink     apca_centre   #cdbebf  0.814  0.018    11  0.0181 0.0181 0.0181 0.0000 0.0000 1.00
comment          ink     apca_centre   #a39587  0.677  0.026    66  0.0261 0.0261 0.0261 0.0000 0.0000 1.00
constant         ink     apca_centre   #dbbd83  0.811  0.083    84  0.0834 0.0834 0.0834 0.0000 0.0000 1.00
debug_current    surface perceptual_step #2b2311  0.260  0.033    85  0.0327 0.0327 0.0327 0.0000 0.0000 1.00
decorator        ink     apca_centre   #cac0ab  0.810  0.031    84  0.0311 0.0311 0.0311 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #979797  0.675  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #1d1f19  0.235  0.013   124  0.0128 0.0128 0.0128 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #201e18  0.235  0.011    85  0.0106 0.0106 0.0106 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #271a1c  0.235  0.021    11  0.0206 0.0206 0.0206 0.0000 0.0000 1.00
docstring        ink     apca_centre   #cdbfb1  0.811  0.025    66  0.0245 0.0245 0.0245 0.0000 0.0000 1.00
error            ink     night_ceiling #f7cacf  0.880  0.052    10  0.0519 0.0519 0.0519 0.0000 0.0000 1.00
fg               ink     apca_centre   #c4c1bd  0.811  0.007    70  0.0066 0.0066 0.0066 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #6d6b68  0.527  0.005    70  0.0049 0.0049 0.0049 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #9a9793  0.676  0.006    70  0.0063 0.0063 0.0063 0.0000 0.0000 1.00
focus            border  apca_centre   #aae2f0  0.878  0.060   215  0.0599 0.0599 0.0599 0.0000 0.0000 1.00
function         ink     apca_centre   #a3e3f0  0.876  0.067   212  0.0667 0.0667 0.0667 0.0000 0.0000 1.00
info             ink     apca_centre   #80ccde  0.803  0.079   213  0.0793 0.0793 0.0793 0.0000 0.0000 1.00
keyword          ink     apca_centre   #e0b2e3  0.819  0.084   324  0.0843 0.0843 0.0843 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6b6b6b  0.526  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c1c1c1  0.809  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #aec6bf  0.807  0.029   177  0.0288 0.0288 0.0288 0.0000 0.0000 1.00
number           ink     apca_centre   #dbbd83  0.811  0.083    84  0.0834 0.0834 0.0834 0.0000 0.0000 1.00
operator         ink     apca_centre   #c1c1c1  0.809  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c4c1bd  0.811  0.007    70  0.0066 0.0066 0.0066 0.0000 0.0000 1.00
property         ink     apca_centre   #bcc2c3  0.809  0.006   210  0.0061 0.0061 0.0061 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #979797  0.675  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #2b2312  0.260  0.031    85  0.0314 0.0314 0.0314 0.0000 0.0000 1.00
search_match_current surface perceptual_step #34280e  0.285  0.044    85  0.0439 0.0439 0.0439 0.0000 0.0000 1.00
selection        surface perceptual_step #1f2527  0.260  0.010   213  0.0096 0.0096 0.0096 0.0000 0.0000 1.00
string           ink     apca_centre   #b4ca82  0.804  0.098   122  0.0977 0.0977 0.0977 0.0000 0.0000 1.00
success          ink     apca_centre   #afcb74  0.800  0.116   124  0.1163 0.1163 0.1163 0.0000 0.0000 1.00
tag              ink     apca_centre   #cdbcce  0.814  0.032   324  0.0324 0.0324 0.0324 0.0000 0.0000 1.00
type             ink     apca_centre   #87cfbc  0.801  0.076   177  0.0765 0.0765 0.0765 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6b6b6b  0.526  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     night_ceiling #f6d389  0.880  0.100    85  0.1004 0.1004 0.1004 0.0000 0.0000 1.00

ok = built without TransformError AND every ink/border final hex meets its WCAG floor.
NON-CANDIDATE: no palette here is final (DESIGN.md section 1).
