# candidate-a-restrained  (CANDIDATE)  ok=True  input_hash=d449bd0427b7a85a
  note: CANDIDATE.  No palette derived from this file is a finished/selected theme; Phase 5 produces candidates, Phase 7 (human evaluation) decides.  No winner is selected or ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.6deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 459 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
namespace        ink     apca_centre   #b9c3c1  0.808  0.012   184  0.0117 0.0117 0.0117 0.0000 0.0000 1.00
number           ink     apca_centre   #cbc0ad  0.811  0.029    80  0.0292 0.0292 0.0292 0.0000 0.0000 1.00
operator         ink     apca_centre   #c1c1c1  0.809  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c2c1bf  0.810  0.003    70  0.0028 0.0028 0.0028 0.0000 0.0000 1.00
property         ink     apca_centre   #c2c1bf  0.810  0.003    70  0.0028 0.0028 0.0028 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #979797  0.675  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #27241e  0.260  0.011    81  0.0110 0.0110 0.0110 0.0000 0.0000 1.00
search_match_current surface perceptual_step #30291c  0.285  0.024    81  0.0241 0.0241 0.0241 0.0000 0.0000 1.00
selection        surface perceptual_step #222426  0.260  0.005   239  0.0053 0.0053 0.0053 0.0000 0.0000 1.00
string           ink     apca_centre   #bbc5ac  0.808  0.035   124  0.0348 0.0348 0.0348 0.0000 0.0000 1.00
success          ink     apca_centre   #bac5a9  0.808  0.042   126  0.0417 0.0417 0.0417 0.0000 0.0000 1.00
tag              ink     apca_centre   #c2c1bf  0.810  0.003    70  0.0031 0.0031 0.0031 0.0000 0.0000 1.00
type             ink     apca_centre   #afc6c2  0.807  0.025   184  0.0254 0.0254 0.0254 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6b6b6b  0.526  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     night_ceiling #e8d5b4  0.880  0.049    81  0.0488 0.0488 0.0488 0.0000 0.0000 1.00

ok = built without TransformError AND every ink/border final hex meets its WCAG floor.
NON-CANDIDATE: no palette here is final (DESIGN.md section 1).
