# calibration-experiment  (NON-CANDIDATE)  ok=True  input_hash=364f6f20e42cae29
  note: NON-CANDIDATE. Systematic-transform calibration only. Comparison target is themes/experiments/handtuned-*.yaml (also NON-CANDIDATE). No palette here is final; see DESIGN.md section 1 and section 9 ("Phase 4 will test whether this works").
  stability: ok=True  max_hue_drift=5.85deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 430 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
docstring        ink     apca_centre   #cbbec1  0.812  0.016     1  0.0156 0.0156 0.0156 0.0000 0.0000 1.00
error            ink     night_ceiling #f4cdc9  0.880  0.044    25  0.0443 0.0443 0.0443 0.0000 0.0000 1.00
fg               ink     apca_centre   #c4c0c1  0.810  0.004     1  0.0043 0.0043 0.0043 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #70696b  0.528  0.008     1  0.0079 0.0079 0.0079 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #9c9697  0.678  0.009     1  0.0085 0.0085 0.0085 0.0000 0.0000 1.00
focus            border  apca_centre   #c8dbe9  0.881  0.028   242  0.0283 0.0283 0.0283 0.0000 0.0000 1.00
function         ink     night_ceiling #ccdae4  0.880  0.021   239  0.0209 0.0209 0.0209 0.0000 0.0000 1.00
info             ink     apca_centre   #adc4d6  0.809  0.036   240  0.0361 0.0361 0.0361 0.0000 0.0000 1.00
keyword          ink     apca_centre   #c5bed4  0.814  0.032   300  0.0322 0.0322 0.0322 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6b6b6b  0.526  0.000     1  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c1c1c1  0.809  0.000     1  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #b1c5c3  0.807  0.021   189  0.0210 0.0210 0.0210 0.0000 0.0000 1.00
number           ink     apca_centre   #d4be9d  0.810  0.051    78  0.0508 0.0508 0.0508 0.0000 0.0000 1.00
operator         ink     apca_centre   #c1c1c1  0.809  0.000     1  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c4c0c1  0.810  0.004     1  0.0043 0.0043 0.0043 0.0000 0.0000 1.00
property         ink     apca_centre   #c4c0c1  0.810  0.004     1  0.0043 0.0043 0.0043 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #979797  0.675  0.000     1  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #29231a  0.260  0.019    79  0.0191 0.0191 0.0191 0.0000 0.0000 1.00
search_match_current surface perceptual_step #332816  0.285  0.034    79  0.0339 0.0339 0.0339 0.0000 0.0000 1.00
selection        surface perceptual_step #202528  0.260  0.010   240  0.0099 0.0099 0.0099 0.0000 0.0000 1.00
string           ink     apca_centre   #a7caa0  0.802  0.068   140  0.0683 0.0683 0.0683 0.0000 0.0000 1.00
success          ink     apca_centre   #9ace95  0.799  0.096   142  0.0955 0.0955 0.0955 0.0000 0.0000 1.00
tag              ink     apca_centre   #b8c3ca  0.810  0.016   239  0.0163 0.0163 0.0163 0.0000 0.0000 1.00
type             ink     apca_centre   #a0c9c5  0.804  0.043   189  0.0429 0.0429 0.0429 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6b6b6b  0.526  0.000     1  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     night_ceiling #f1d3a2  0.880  0.071    79  0.0715 0.0715 0.0715 0.0000 0.0000 1.00

ok = built without TransformError AND every ink/border final hex meets its WCAG floor.
NON-CANDIDATE: no palette here is final (DESIGN.md section 1).
